Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.28,-.05,-.37,-.13,-.02,-.82,-.47,-.28,-.15,-.11,-.05,.05,.67
1881,-.09,-.18,.00,-.35,.10,-.07,-.94,-.46,-.20,.10,.10,-.06,-.07,.60
1882,-.11,-.22,-.01,-.32,-.05,.01,-1.43,-.29,-.14,-.05,-.05,.01,.04,.63
1883,-.17,-.28,-.07,-.34,-.17,-.02,-.19,-.57,-.24,-.18,-.16,-.04,.07,.50
1884,-.29,-.43,-.15,-.61,-.15,-.14,-1.32,-.65,-.46,-.13,-.17,-.20,-.02,.65
1885,-.34,-.44,-.25,-.66,-.13,-.28,-1.51,-.69,-.46,-.07,-.20,-.34,-.15,.82
1886,-.32,-.43,-.20,-.57,-.20,-.22,-1.59,-.51,-.40,-.21,-.18,-.21,-.20,.59
1887,-.36,-.44,-.29,-.53,-.30,-.29,-1.77,-.52,-.29,-.29,-.30,-.28,-.26,.32
1888,-.17,-.23,-.12,-.42,.10,-.29,-1.31,-.44,-.24,.07,.13,-.31,-.22,.16
1889,-.11,-.18,-.04,-.30,.08,-.17,-.69,-.23,-.27,.02,.14,-.16,-.15,.45
1890,-.35,-.39,-.32,-.46,-.37,-.23,-1.15,-.57,-.27,-.26,-.47,-.18,-.27,.15
1891,-.22,-.26,-.19,-.43,-.08,-.22,-1.12,-.34,-.36,.01,-.16,-.18,-.24,-.16
1892,-.28,-.40,-.16,-.44,-.30,-.08,-1.14,-.66,-.17,-.34,-.26,.02,-.21,.09
1893,-.31,-.47,-.16,-.50,-.37,-.05,-.61,-.54,-.47,-.43,-.31,.07,-.20,-.04
1894,-.30,-.39,-.22,-.32,-.34,-.24,-.91,-.33,-.19,-.49,-.19,-.15,-.35,-.38
1895,-.23,-.30,-.15,-.40,-.08,-.26,-.65,-.52,-.27,-.15,.00,-.20,-.32,-.58
1896,-.11,-.19,-.03,-.35,.10,-.15,-.84,-.37,-.22,.05,.14,-.15,-.13,.26
1897,-.11,-.16,-.05,-.35,.17,-.24,-.52,-.47,-.24,.14,.20,-.19,-.27,.40
